unique_key,complaint_text,agency,agency_name,borough,created_date,status,open_data_channel_type
67599169,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: queens,NYPD,New York City Police Department,queens,2026-01-24T03:18:12.000,Closed,MOBILE
67596154,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:17:33.000,Closed,ONLINE
67600562,problem: illegal parking. details: double parked blocking traffic. location type: street/sidewalk. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T03:17:27.000,Closed,ONLINE
67592221,problem: illegal parking. details: blocked hydrant. location type: street/sidewalk. borough: queens,NYPD,New York City Police Department,queens,2026-01-24T03:17:26.000,Closed,MOBILE
67604513,problem: heat/hot water. details: entire building. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T03:17:09.000,Closed,MOBILE
67597464,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:16:52.000,Closed,PHONE
67604488,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:16:42.000,Closed,ONLINE
67604735,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:16:18.000,Closed,PHONE
67592275,problem: illegal parking. details: posted parking sign violation. location type: street/sidewalk. borough: queens,NYPD,New York City Police Department,queens,2026-01-24T03:15:50.000,Closed,PHONE
67604124,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-24T03:15:18.000,Closed,ONLINE
67595791,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: queens,NYPD,New York City Police Department,queens,2026-01-24T03:15:08.000,Closed,MOBILE
67600851,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:14:38.000,Closed,ONLINE
67600757,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: queens,NYPD,New York City Police Department,queens,2026-01-24T03:14:25.000,Closed,ONLINE
67592837,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:13:41.000,Closed,ONLINE
67601255,problem: heat/hot water. details: entire building. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T03:13:10.000,Closed,ONLINE
67598885,problem: illegal parking. details: posted parking sign violation. location type: street/sidewalk. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:13:06.000,Closed,ONLINE
67604491,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:12:45.000,Closed,ONLINE
67594135,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: queens,NYPD,New York City Police Department,queens,2026-01-24T03:12:43.000,Closed,PHONE
67600747,problem: noise - commercial. details: loud music/party. location type: store/commercial. borough: queens,NYPD,New York City Police Department,queens,2026-01-24T03:11:27.000,Closed,MOBILE
67595833,problem: noise - street/sidewalk. details: loud music/party. location type: street/sidewalk. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:10:54.000,Closed,MOBILE
67599436,problem: heat/hot water. details: apartment only. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:10:20.000,Closed,MOBILE
67597466,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T03:10:08.000,Closed,PHONE
67599021,problem: traffic signal condition. details: controller. borough: queens,DOT,Department of Transportation,queens,2026-01-24T03:10:00.000,Closed,UNKNOWN
67597271,problem: noise - vehicle. details: car/truck horn. location type: street/sidewalk. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:09:44.000,Closed,MOBILE
67602875,problem: heat/hot water. details: entire building. location type: residential building. borough: queens,HPD,Department of Housing Preservation and Development,queens,2026-01-24T03:09:06.000,Closed,ONLINE
67599022,problem: traffic signal condition. details: controller. borough: queens,DOT,Department of Transportation,queens,2026-01-24T03:09:00.000,Closed,UNKNOWN
67600560,problem: illegal parking. details: commercial overnight parking. location type: street/sidewalk. borough: queens,NYPD,New York City Police Department,queens,2026-01-24T03:08:59.000,Closed,MOBILE
67599281,problem: heat/hot water. details: apartment only. location type: residential building. borough: manhattan,HPD,Department of Housing Preservation and Development,manhattan,2026-01-24T03:08:53.000,Closed,MOBILE
67597518,problem: noise - residential. details: loud talking. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T03:08:51.000,Closed,PHONE
67594735,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:07:54.000,Closed,MOBILE
67592556,problem: noise - vehicle. details: car/truck music. location type: street/sidewalk. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T03:07:06.000,Closed,PHONE
67599028,problem: traffic signal condition. details: controller. borough: bronx,DOT,Department of Transportation,bronx,2026-01-24T03:07:00.000,Closed,UNKNOWN
67592476,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T03:06:43.000,Closed,MOBILE
67604489,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:06:37.000,Closed,ONLINE
67595702,problem: noise - commercial. details: loud music/party. location type: club/bar/restaurant. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:06:34.000,Closed,PHONE
67594478,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:06:15.000,Closed,ONLINE
67592624,problem: heat/hot water. details: apartment only. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:06:15.000,Closed,PHONE
67599170,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-24T03:06:14.000,Closed,MOBILE
67594253,problem: heat/hot water. details: apartment only. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:06:12.000,Closed,PHONE
67593795,problem: illegal parking. details: blocked hydrant. location type: street/sidewalk. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:05:54.000,Closed,MOBILE
67604115,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: queens,NYPD,New York City Police Department,queens,2026-01-24T03:05:11.000,Closed,ONLINE
67598845,problem: illegal parking. details: commercial overnight parking. location type: street/sidewalk. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:04:55.000,Closed,MOBILE
67597412,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:04:55.000,Closed,ONLINE
67600755,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:04:42.000,Closed,PHONE
67592526,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-24T03:04:29.000,Closed,MOBILE
67602258,problem: illegal parking. details: blocked sidewalk. location type: street/sidewalk. borough: staten island,NYPD,New York City Police Department,staten island,2026-01-24T03:04:17.000,Closed,MOBILE
67597137,problem: illegal parking. details: blocked hydrant. location type: street/sidewalk. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:03:34.000,Closed,MOBILE
67595730,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: queens,NYPD,New York City Police Department,queens,2026-01-24T03:03:30.000,Closed,ONLINE
67597322,problem: blocked driveway. details: no access. location type: street/sidewalk. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T03:03:20.000,Closed,MOBILE
67592838,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:03:15.000,Closed,ONLINE
67600961,problem: heat/hot water. details: apartment only. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:02:54.000,Closed,PHONE
67604490,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:02:54.000,Closed,ONLINE
67600839,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-24T03:02:49.000,Closed,ONLINE
67602885,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:02:40.000,Closed,MOBILE
67598881,problem: illegal parking. details: posted parking sign violation. location type: street/sidewalk. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:02:38.000,Closed,MOBILE
67592484,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: queens,NYPD,New York City Police Department,queens,2026-01-24T03:02:24.000,Closed,ONLINE
67595582,problem: illegal parking. details: posted parking sign violation. location type: street/sidewalk. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:02:21.000,Closed,MOBILE
67600797,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: staten island,NYPD,New York City Police Department,staten island,2026-01-24T03:02:14.000,Closed,ONLINE
67592198,problem: illegal parking. details: blocked hydrant. location type: street/sidewalk. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:01:51.000,Closed,MOBILE
